Country,Year,Series,Value
Brazil,2005,Capital city population (as a percentage of total population),1.8
Brazil,2005,Capital city population (thousands),"3,301"
Brazil,2005,Rural population (percent growth rate per annum),-0.5
Brazil,2005,Urban population (percent growth rate per annum),1.7
India,2005,Capital city population (as a percentage of total population),1.6
India,2005,Capital city population (thousands),"18,691"
India,2005,Rural population (percent growth rate per annum),1.2
India,2005,Urban population (percent growth rate per annum),2.8
Japan,2005,Capital city population (as a percentage of total population),27.8
Japan,2005,Capital city population (thousands),"35,622"
Japan,2005,Rural population (percent growth rate per annum),-8.3
Japan,2005,Urban population (percent growth rate per annum),1.9
South Africa,2005,Capital city population (as a percentage of total population),2.7
South Africa,2005,Capital city population (thousands),"1,334"
South Africa,2005,Rural population (percent growth rate per annum),0.0
South Africa,2005,Urban population (percent growth rate per annum),2.2
Turkey,2005,Capital city population (as a percentage of total population),5.4
Turkey,2005,Capital city population (thousands),"3,638"
Turkey,2005,Rural population (percent growth rate per annum),-0.4
Turkey,2005,Urban population (percent growth rate per annum),2.4
Vietnam,2005,Capital city population (as a percentage of total population),2.6
Vietnam,2005,Capital city population (thousands),"2,160"
Vietnam,2005,Rural population (percent growth rate per annum),0.2
Vietnam,2005,Urban population (percent growth rate per annum),3.2
Brazil,2010,Capital city population (as a percentage of total population),1.9
Brazil,2010,Capital city population (thousands),"3,710"
Brazil,2010,Rural population (percent growth rate per annum),-0.8
Brazil,2010,Urban population (percent growth rate per annum),1.4
India,2010,Capital city population (as a percentage of total population),1.8
India,2010,Capital city population (thousands),"21,988"
India,2010,Rural population (percent growth rate per annum),1.0
India,2010,Urban population (percent growth rate per annum),2.6
Japan,2010,Capital city population (as a percentage of total population),28.7
Japan,2010,Capital city population (thousands),"36,860"
Japan,2010,Rural population (percent growth rate per annum),-8.4
Japan,2010,Urban population (percent growth rate per annum),1.1
South Africa,2010,Capital city population (as a percentage of total population),3.2
South Africa,2010,Capital city population (thousands),"1,666"
South Africa,2010,Rural population (percent growth rate per annum),-0.3
South Africa,2010,Urban population (percent growth rate per annum),2.0
Turkey,2010,Capital city population (as a percentage of total population),5.8
Turkey,2010,Capital city population (thousands),"4,166"
Turkey,2010,Rural population (percent growth rate per annum),-0.7
Turkey,2010,Urban population (percent growth rate per annum),2.1
Vietnam,2010,Capital city population (as a percentage of total population),3.2
Vietnam,2010,Capital city population (thousands),"2,811"
Vietnam,2010,Rural population (percent growth rate per annum),0.1
Vietnam,2010,Urban population (percent growth rate per annum),3.1
Brazil,2015,Capital city population (as a percentage of total population),2.0
Brazil,2015,Capital city population (thousands),"4,168"
Brazil,2015,Rural population (percent growth rate per annum),-1.0
Brazil,2015,Urban population (percent growth rate per annum),1.2
India,2015,Capital city population (as a percentage of total population),2.0
India,2015,Capital city population (thousands),"25,866"
India,2015,Rural population (percent growth rate per annum),0.7
India,2015,Urban population (percent growth rate per annum),2.4
Japan,2015,Capital city population (as a percentage of total population),29.1
Japan,2015,Capital city population (thousands),"37,256"
Japan,2015,Rural population (percent growth rate per annum),-1.4
Japan,2015,Urban population (percent growth rate per annum),0.0
South Africa,2015,Capital city population (as a percentage of total population),3.8
South Africa,2015,Capital city population (thousands),"2,081"
South Africa,2015,Rural population (percent growth rate per annum),0.0
South Africa,2015,Urban population (percent growth rate per annum),2.2
Turkey,2015,Capital city population (as a percentage of total population),5.9
Turkey,2015,Capital city population (thousands),"4,633"
Turkey,2015,Rural population (percent growth rate per annum),-0.4
Turkey,2015,Urban population (percent growth rate per annum),2.4
Vietnam,2015,Capital city population (as a percentage of total population),3.9
Vietnam,2015,Capital city population (thousands),"3,657"
Vietnam,2015,Rural population (percent growth rate per annum),0.1
Vietnam,2015,Urban population (percent growth rate per annum),3.2
